"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","YEAR","MONTH",
430.00,397.00,"MQ",20398,"Envoy Air",12953,1295302,31703,"LGA","New York, NY","NY",10874,1087402,30647,"CAK","Akron, OH","OH",2017,4,
431.00,765.00,"YX",20452,"Republic Airlines",10693,1069302,30693,"BNA","Nashville, TN","TN",12478,1247803,31703,"JFK","New York, NY","NY",2017,2,
431.00,723.00,"OO",20304,"SkyWest Airlines Inc.",10257,1025702,30257,"ALB","Albany, NY","NY",13930,1393004,30977,"ORD","Chicago, IL","IL",2017,6,
431.00,296.00,"ZW",20046,"Air Wisconsin Airlines Corp",11278,1127803,30852,"DCA","Washington, DC","VA",14576,1457604,34576,"ROC","Rochester, NY","NY",2017,3,
432.00,166.00,"PT",20427,"Piedmont Airlines",14100,1410002,34100,"PHL","Philadelphia, PA","PA",10577,1057703,30577,"BGM","Binghamton, NY","NY",2017,2,
432.00,1416.00,"DL",19790,"Delta Air Lines Inc.",12953,1295302,31703,"LGA","New York, NY","NY",12266,1226603,31453,"IAH","Houston, TX","TX",2017,2,
432.00,607.00,"EV",20366,"ExpressJet Airlines Inc.",13930,1393004,30977,"ORD","Chicago, IL","IL",15096,1509602,35096,"SYR","Syracuse, NY","NY",2017,4,
434.00,607.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express",15096,1509602,35096,"SYR","Syracuse, NY","NY",13930,1393004,30977,"ORD","Chicago, IL","IL",2017,5,
434.00,405.00,"AX",20237,"Trans States Airlines",12953,1295302,31703,"LGA","New York, NY","NY",14574,1457403,34574,"ROA","Roanoke, VA","VA",2017,1,
435.00,474.00,"YX",20452,"Republic Airlines",13930,1393004,30977,"ORD","Chicago, IL","IL",10792,1079204,30792,"BUF","Buffalo, NY","NY",2017,6,
435.00,397.00,"OH",20397,"PSA Airlines Inc.",10874,1087402,30647,"CAK","Akron, OH","OH",12953,1295302,31703,"LGA","New York, NY","NY",2017,2,
435.00,1206.00,"WN",19393,"Southwest Airlines Co.",10792,1079204,30792,"BUF","Buffalo, NY","NY",11259,1125903,30194,"DAL","Dallas, TX","TX",2017,5,
437.00,483.00,"MQ",20398,"Envoy Air",11066,1106603,31066,"CMH","Columbus, OH","OH",12478,1247803,31703,"JFK","New York, NY","NY",2017,2,
437.00,607.00,"EV",20366,"ExpressJet Airlines Inc.",15096,1509602,35096,"SYR","Syracuse, NY","NY",13930,1393004,30977,"ORD","Chicago, IL","IL",2017,3,
438.00,659.00,"MQ",20398,"Envoy Air",12953,1295302,31703,"LGA","New York, NY","NY",14730,1473003,33044,"SDF","Louisville, KY","KY",2017,2,
438.00,723.00,"OO",20304,"SkyWest Airlines Inc.",13930,1393004,30977,"ORD","Chicago, IL","IL",10257,1025702,30257,"ALB","Albany, NY","NY",2017,5,
439.00,678.00,"9E",20363,"Endeavor Air Inc.",10208,1020803,30208,"AGS","Augusta, GA","GA",12953,1295302,31703,"LGA","New York, NY","NY",2017,4,
439.00,500.00,"ZW",20046,"Air Wisconsin Airlines Corp",12323,1232303,32323,"ILM","Wilmington, NC","NC",12953,1295302,31703,"LGA","New York, NY","NY",2017,1,
440.00,1107.00,"NK",20416,"Spirit Air Lines",13198,1319801,33198,"MCI","Kansas City, MO","MO",12953,1295302,31703,"LGA","New York, NY","NY",2017,5,
442.00,296.00,"ZW",20046,"Air Wisconsin Airlines Corp",11278,1127803,30852,"DCA","Washington, DC","VA",10792,1079204,30792,"BUF","Buffalo, NY","NY",2017,1,
443.00,166.00,"PT",20427,"Piedmont Airlines",10577,1057703,30577,"BGM","Binghamton, NY","NY",14100,1410002,34100,"PHL","Philadelphia, PA","PA",2017,2,
443.00,213.00,"DL",19790,"Delta Air Lines Inc.",12478,1247803,31703,"JFK","New York, NY","NY",11278,1127803,30852,"DCA","Washington, DC","VA",2017,3,
444.00,2378.00,"VX",21171,"Virgin America",12478,1247803,31703,"JFK","New York, NY","NY",14262,1426204,34262,"PSP","Palm Springs, CA","CA",2017,1,
444.00,1894.00,"DL",19790,"Delta Air Lines Inc.",12441,1244102,32441,"JAC","Jackson, WY","WY",12478,1247803,31703,"JFK","New York, NY","NY",2017,2,
444.00,419.00,"9E",20363,"Endeavor Air Inc.",11042,1104203,30647,"CLE","Cleveland, OH","OH",12953,1295302,31703,"LGA","New York, NY","NY",2017,6,
447.00,425.00,"MQ",20398,"Envoy Air",11042,1104203,30647,"CLE","Cleveland, OH","OH",12478,1247803,31703,"JFK","New York, NY","NY",2017,2,
