"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","YEAR","MONTH",
1215.00,564.00,"OH",20397,"PSA Airlines Inc.",12197,1219702,31703,"HPN","White Plains, NY","NY",11057,1105703,31057,"CLT","Charlotte, NC","NC",2015,3,
1215.00,258.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express",12953,1295302,31703,"LGA","New York, NY","NY",10785,1078502,30785,"BTV","Burlington, VT","VT",2015,8,
1216.00,254.00,"S5",20448,"Shuttle America Corp.",14576,1457604,34576,"ROC","Rochester, NY","NY",12953,1295302,31703,"LGA","New York, NY","NY",2015,2,
1216.00,296.00,"ZW",20046,"Air Wisconsin Airlines Corp",12953,1295302,31703,"LGA","New York, NY","NY",13931,1393102,33667,"ORF","Norfolk, VA","VA",2015,12,
1216.00,184.00,"MQ",20398,"Envoy Air",10821,1082103,30852,"BWI","Baltimore, MD","MD",12478,1247803,31703,"JFK","New York, NY","NY",2015,12,
1216.00,340.00,"YX",20452,"Republic Airlines",14122,1412202,30198,"PIT","Pittsburgh, PA","PA",12478,1247802,31703,"JFK","New York, NY","NY",2015,3,
1217.00,195.00,"EV",20366,"ExpressJet Airlines Inc.",11618,1161802,31703,"EWR","Newark, NJ","NJ",15096,1509602,35096,"SYR","Syracuse, NY","NY",2015,6,
1217.00,1262.00,"G4",20368,"Allegiant Air",14112,1411204,33195,"PIE","St. Petersburg, FL","FL",14025,1402501,34025,"PBG","Plattsburgh, NY","NY",2015,11,
1218.00,1416.00,"9E",20363,"Endeavor Air Inc.",12953,1295302,31703,"LGA","New York, NY","NY",12266,1226603,31453,"IAH","Houston, TX","TX",2015,3,
1218.00,483.00,"S5",20448,"Shuttle America Corp.",11066,1106603,31066,"CMH","Columbus, OH","OH",12478,1247802,31703,"JFK","New York, NY","NY",2015,1,
1218.00,296.00,"MQ",20398,"Envoy Air",13931,1393102,33667,"ORF","Norfolk, VA","VA",12953,1295302,31703,"LGA","New York, NY","NY",2015,3,
1219.00,647.00,"9E",20363,"Endeavor Air Inc.",15412,1541202,35412,"TYS","Knoxville, TN","TN",12953,1295302,31703,"LGA","New York, NY","NY",2015,9,
1219.00,1334.00,"G4",20368,"Allegiant Air",14025,1402501,34025,"PBG","Plattsburgh, NY","NY",11697,1169704,32467,"FLL","Fort Lauderdale, FL","FL",2015,6,
1219.00,335.00,"EV",20366,"ExpressJet Airlines Inc.",14122,1412202,30198,"PIT","Pittsburgh, PA","PA",12953,1295302,31703,"LGA","New York, NY","NY",2015,1,
1220.00,209.00,"9E",20363,"Endeavor Air Inc.",12478,1247803,31703,"JFK","New York, NY","NY",15096,1509602,35096,"SYR","Syracuse, NY","NY",2015,12,
1220.00,184.00,"MQ",20398,"Envoy Air",10821,1082103,30852,"BWI","Baltimore, MD","MD",12478,1247803,31703,"JFK","New York, NY","NY",2015,10,
1220.00,812.00,"S5",20448,"Shuttle America Corp.",12953,1295302,31703,"LGA","New York, NY","NY",13485,1348502,33485,"MSN","Madison, WI","WI",2015,6,
1221.00,264.00,"S5",20448,"Shuttle America Corp.",14576,1457604,34576,"ROC","Rochester, NY","NY",12478,1247803,31703,"JFK","New York, NY","NY",2015,12,
1221.00,589.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express",11193,1119302,33105,"CVG","Cincinnati, OH","KY",12478,1247803,31703,"JFK","New York, NY","NY",2015,9,
1221.00,589.00,"9E",20363,"Endeavor Air Inc.",12478,1247802,31703,"JFK","New York, NY","NY",11193,1119302,33105,"CVG","Cincinnati, OH","KY",2015,3,
1222.00,954.00,"G4",20368,"Allegiant Air",11537,1153703,31537,"ELM","Elmira/Corning, NY","NY",14761,1476104,34761,"SFB","Sanford, FL","FL",2015,9,
1222.00,647.00,"9E",20363,"Endeavor Air Inc.",12953,1295302,31703,"LGA","New York, NY","NY",15412,1541202,35412,"TYS","Knoxville, TN","TN",2015,4,
1222.00,618.00,"EV",20366,"ExpressJet Airlines Inc.",11986,1198603,31986,"GRR","Grand Rapids, MI","MI",12953,1295302,31703,"LGA","New York, NY","NY",2015,6,
1222.00,963.00,"9E",20363,"Endeavor Air Inc.",13244,1324402,33244,"MEM","Memphis, TN","TN",12953,1295302,31703,"LGA","New York, NY","NY",2015,12,
1224.00,589.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express",11193,1119302,33105,"CVG","Cincinnati, OH","KY",12478,1247803,31703,"JFK","New York, NY","NY",2015,8,
1224.00,287.00,"PT",20427,"Piedmont Airlines",14100,1410002,34100,"PHL","Philadelphia, PA","PA",10361,1036102,30361,"ART","Watertown, NY","NY",2015,2,
1226.00,264.00,"S5",20448,"Shuttle America Corp.",14576,1457604,34576,"ROC","Rochester, NY","NY",12478,1247802,31703,"JFK","New York, NY","NY",2015,6,
1226.00,213.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express",11278,1127803,30852,"DCA","Washington, DC","VA",12478,1247803,31703,"JFK","New York, NY","NY",2015,11,
1227.00,254.00,"9E",20363,"Endeavor Air Inc.",12953,1295302,31703,"LGA","New York, NY","NY",14576,1457604,34576,"ROC","Rochester, NY","NY",2015,1,
1227.00,812.00,"S5",20448,"Shuttle America Corp.",13485,1348502,33485,"MSN","Madison, WI","WI",12953,1295302,31703,"LGA","New York, NY","NY",2015,3,
1227.00,1262.00,"G4",20368,"Allegiant Air",14025,1402501,34025,"PBG","Plattsburgh, NY","NY",14112,1411203,33195,"PIE","St. Petersburg, FL","FL",2015,5,
1227.00,607.00,"S5",20448,"Shuttle America Corp.",15096,1509602,35096,"SYR","Syracuse, NY","NY",13930,1393003,30977,"ORD","Chicago, IL","IL",2015,8,
1228.00,549.00,"MQ",20398,"Envoy Air",12953,1295302,31703,"LGA","New York, NY","NY",11267,1126702,31267,"DAY","Dayton, OH","OH",2015,3,
1228.00,296.00,"AX",20237,"Trans States Airlines",15096,1509602,35096,"SYR","Syracuse, NY","NY",12264,1226402,30852,"IAD","Washington, DC","VA",2015,1,
1229.00,564.00,"OH",20397,"PSA Airlines Inc.",12197,1219702,31703,"HPN","White Plains, NY","NY",11057,1105703,31057,"CLT","Charlotte, NC","NC",2015,9,
1229.00,378.00,"9E",20363,"Endeavor Air Inc.",10581,1058102,30581,"BGR","Bangor, ME","ME",12953,1295302,31703,"LGA","New York, NY","NY",2015,3,
1229.00,607.00,"OO",20304,"SkyWest Airlines Inc.",15096,1509602,35096,"SYR","Syracuse, NY","NY",13930,1393004,30977,"ORD","Chicago, IL","IL",2015,10,
1230.00,301.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express",10792,1079204,30792,"BUF","Buffalo, NY","NY",12478,1247803,31703,"JFK","New York, NY","NY",2015,10,
1230.00,335.00,"EV",20366,"ExpressJet Airlines Inc.",14122,1412202,30198,"PIT","Pittsburgh, PA","PA",12953,1295302,31703,"LGA","New York, NY","NY",2015,11,
1231.00,1197.00,"G4",20368,"Allegiant Air",11697,1169704,32467,"FLL","Fort Lauderdale, FL","FL",15096,1509602,35096,"SYR","Syracuse, NY","NY",2015,10,
1232.00,340.00,"YX",20452,"Republic Airlines",12478,1247802,31703,"JFK","New York, NY","NY",14122,1412202,30198,"PIT","Pittsburgh, PA","PA",2015,4,
1232.00,718.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express",12478,1247803,31703,"JFK","New York, NY","NY",14685,1468502,34685,"SAV","Savannah, GA","GA",2015,11,
1233.00,282.00,"S5",20448,"Shuttle America Corp.",10792,1079204,30792,"BUF","Buffalo, NY","NY",11618,1161802,31703,"EWR","Newark, NJ","NJ",2015,2,
1233.00,665.00,"YX",20452,"Republic Airlines",12339,1233904,32337,"IND","Indianapolis, IN","IN",12478,1247803,31703,"JFK","New York, NY","NY",2015,9,
1233.00,241.00,"9E",20363,"Endeavor Air Inc.",10792,1079204,30792,"BUF","Buffalo, NY","NY",11433,1143302,31295,"DTW","Detroit, MI","MI",2015,3,
1233.00,765.00,"MQ",20398,"Envoy Air",10693,1069302,30693,"BNA","Nashville, TN","TN",12478,1247803,31703,"JFK","New York, NY","NY",2015,9,
