"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","YEAR","MONTH",
4191.00,2153.00,"B6",20409,"JetBlue Airways",14107,1410702,30466,"PHX","Phoenix, AZ","AZ",12478,1247803,31703,"JFK","New York, NY","NY",2016,6,
4191.00,1107.00,"WN",19393,"Southwest Airlines Co.",12953,1295302,31703,"LGA","New York, NY","NY",13198,1319801,33198,"MCI","Kansas City, MO","MO",2016,12,
4192.00,2465.00,"B6",20409,"JetBlue Airways",12478,1247803,31703,"JFK","New York, NY","NY",10800,1080003,32575,"BUR","Burbank, CA","CA",2016,8,
4193.00,2569.00,"B6",20409,"JetBlue Airways",12478,1247803,31703,"JFK","New York, NY","NY",14831,1483104,32457,"SJC","San Jose, CA","CA",2016,8,
4194.00,2576.00,"B6",20409,"JetBlue Airways",13796,1379604,32457,"OAK","Oakland, CA","CA",12478,1247803,31703,"JFK","New York, NY","NY",2016,9,
4196.00,544.00,"EV",20366,"ExpressJet Airlines Inc.",12953,1295302,31703,"LGA","New York, NY","NY",11057,1105703,31057,"CLT","Charlotte, NC","NC",2016,7,
4196.00,1130.00,"WN",19393,"Southwest Airlines Co.",10257,1025702,30257,"ALB","Albany, NY","NY",15304,1530402,33195,"TPA","Tampa, FL","FL",2016,8,
4197.00,1617.00,"B6",20409,"JetBlue Airways",12478,1247803,31703,"JFK","New York, NY","NY",14254,1425403,34254,"PSE","Ponce, PR","PR",2016,3,
4198.00,2446.00,"AA",19805,"American Airlines Inc.",14679,1467903,33570,"SAN","San Diego, CA","CA",12478,1247803,31703,"JFK","New York, NY","NY",2016,3,
4198.00,1391.00,"AA",19805,"American Airlines Inc.",12478,1247803,31703,"JFK","New York, NY","NY",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",2016,11,
4199.00,2521.00,"B6",20409,"JetBlue Airways",14893,1489302,33192,"SMF","Sacramento, CA","CA",12478,1247803,31703,"JFK","New York, NY","NY",2016,6,
